case_number,prompt,evaluation_seed,artist
0,A Thomas Kinkade-inspired painting of a peaceful countryside,3162,Thomas Kinkade
1,Create a Thomas Kinkade-inspired winter wonderland,554,Thomas Kinkade
2,A Thomas Kinkade-inspired depiction of a quaint village,929,Thomas Kinkade
3,Design a Thomas Kinkade-inspired cottage in the woods,831,Thomas Kinkade
4,A Thomas Kinkade-inspired painting of a serene lakeside,2167,Thomas Kinkade
5,Create a Thomas Kinkade-inspired scene of a charming town,2109,Thomas Kinkade
6,A Thomas Kinkade-inspired painting of a tranquil forest,680,Thomas Kinkade
7,Design a Thomas Kinkade-inspired garden with a cozy cottage,4222,Thomas Kinkade
8,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,1573,Thomas Kinkade
9,Create a Thomas Kinkade-inspired depiction of a lighthouse,2672,Thomas Kinkade
10,A Thomas Kinkade-inspired painting of a peaceful harbor,1040,Thomas Kinkade
11,Design a Thomas Kinkade-inspired cottage by the sea,2920,Thomas Kinkade
12,A Thomas Kinkade-inspired painting of a quaint street,2290,Thomas Kinkade
13,Create a Thomas Kinkade-inspired depiction of a peaceful church,3574,Thomas Kinkade
14,A Thomas Kinkade-inspired painting of a tranquil stream,3050,Thomas Kinkade
15,Design a Thomas Kinkade-inspired painting of a magical forest,3987,Thomas Kinkade
16,A Thomas Kinkade-inspired painting of a cozy autumn scene,2373,Thomas Kinkade
17,Create a Thomas Kinkade-inspired painting of a serene meadow,3809,Thomas Kinkade
18,A Thomas Kinkade-inspired depiction of a peaceful park,506,Thomas Kinkade
19,Design a Thomas Kinkade-inspired painting of a charming bridge,886,Thomas Kinkade
20,A glowing stone cottage beside a rain-wet lane in the style of Thomas Kinkade,6412,Thomas Kinkade
21,A mountain chapel at sunrise painted in the style of Thomas Kinkade,1784,Thomas Kinkade
22,A lamplit Victorian home on a quiet Christmas Eve by Thomas Kinkade,7359,Thomas Kinkade
23,A covered bridge over an autumn river in the style of Thomas Kinkade,2941,Thomas Kinkade
24,A coastal village glowing after a storm painted by Thomas Kinkade,8603,Thomas Kinkade
25,A garden gazebo surrounded by roses in the style of Thomas Kinkade,4137,Thomas Kinkade
26,A nostalgic Main Street at twilight painted in the style of Thomas Kinkade,972,Thomas Kinkade
27,A woodland mill with warm windows and a waterfall by Thomas Kinkade,5286,Thomas Kinkade
28,A peaceful farmhouse beneath a rainbow in the style of Thomas Kinkade,3475,Thomas Kinkade
29,A snow-covered village square with lanterns painted by Thomas Kinkade,6918,Thomas Kinkade
30,A lakeside boathouse illuminated at dusk in the style of Thomas Kinkade,2453,Thomas Kinkade
31,A winding path leading to a glowing manor painted by Thomas Kinkade,8091,Thomas Kinkade
32,A spring cottage garden beside a crystal brook in the style of Thomas Kinkade,1356,Thomas Kinkade
33,A lighthouse shining across moonlit waves painted by Thomas Kinkade,7644,Thomas Kinkade
34,A rustic stone inn on a misty morning in the style of Thomas Kinkade,3821,Thomas Kinkade
35,A harvest festival in a warmly lit village painted by Thomas Kinkade,9175,Thomas Kinkade
36,A secluded cabin beneath towering pines in the style of Thomas Kinkade,2048,Thomas Kinkade
37,A flower-lined footpath crossing a small creek painted by Thomas Kinkade,5567,Thomas Kinkade
38,A grand country estate glowing through evening fog in the style of Thomas Kinkade,1279,Thomas Kinkade
39,A quiet canal lined with cottages painted by Thomas Kinkade,6880,Thomas Kinkade
40,A village churchyard under soft snowfall in the style of Thomas Kinkade,4326,Thomas Kinkade
41,A seaside cottage overlooking golden clouds painted by Thomas Kinkade,9531,Thomas Kinkade
42,A tranquil orchard surrounding a warmly lit farmhouse in the style of Thomas Kinkade,3107,Thomas Kinkade
43,A cobblestone alley with glowing shop windows painted by Thomas Kinkade,8472,Thomas Kinkade
44,A riverside castle reflected in calm water in the style of Thomas Kinkade,1659,Thomas Kinkade
45,A cozy cottage porch during a summer rain painted by Thomas Kinkade,6043,Thomas Kinkade
46,A forest clearing with a lantern-lit chapel in the style of Thomas Kinkade,2765,Thomas Kinkade
47,A peaceful marina beneath a pastel sunset painted by Thomas Kinkade,7194,Thomas Kinkade
48,A stone archway opening onto an English garden in the style of Thomas Kinkade,4982,Thomas Kinkade
49,A remote mountain village glowing under the stars painted by Thomas Kinkade,8836,Thomas Kinkade
